127.0.8.1 , 12075 , 78939
127.8.0.1 , 91923 , 91499
127.0.0.8 , 82828 , 24504
127.0.0.1 , 12075 , 10000
127.0.0.1 , 12075 , 1494186269972921103
127.0.0.1 , 12075 , 747323719281576025
127.0.0.1 , 12075 , 2124142580089244039
127.0.0.1 , 12075 , 529190970613313114
127.0.0.1 , 12075 , 1007192226423401780
127.0.0.1 , 12075 , 848089058805616861
127.0.0.1 , 12075 , 2291085613958526005
127.0.0.1 , 12075 , 882215535327077184
127.0.0.1 , 12075 , 1225324975112681956
127.0.0.1 , 12075 , 846405140382169454981093352886790079
127.0.0.1 , 12075 , 2445807056604155422206700214852176326
127.0.0.1 , 12075 , 8099922251770008823682061636573844988
127.0.0.1 , 12075 , 5286651821386328766396902834663094812
127.0.0.1 , 12075 , 404860607137279997764495017111090420
127.0.0.1 , 12075 , 16036528679776085767793232489152626722
127.0.0.1 , 82882 , 1939721501944343189
127.0.0.1 , 12075 , 1240181601
